player1,player2,val_3,val_6,raw,total
1627783_2018-19,203471_2018-19,0,0,0.16,1
1627783_2018-19,203490_2018-19,1,1,0.33,2
1627783_2018-19,203924_2018-19,0,0,0.16,1
1627783_2018-19,203932_2018-19,1,1,0.33,2
1627783_2018-19,2772_2018-19,0,0,0.16,1
200768_2018-19,201143_2018-19,0,0,0.16,1
200768_2018-19,201145_2018-19,1,1,0.33,2
200768_2018-19,201152_2018-19,1,1,0.33,2
200768_2018-19,201571_2018-19,0,0,0.16,1
200768_2018-19,201980_2018-19,1,1,0.33,2
200768_2018-19,202691_2018-19,0,0,0.16,1
200768_2018-19,202711_2018-19,0,0,0.16,1
200768_2018-19,203095_2018-19,0,0,0.16,1
200768_2018-19,203107_2018-19,0,0,0.16,1
200768_2018-19,203471_2018-19,0,0,0.16,1
200768_2018-19,203490_2018-19,2,1,0.5,3
200768_2018-19,203924_2018-19,0,0,0.16,1
200768_2018-19,203932_2018-19,1,1,0.33,2
200768_2018-19,2772_2018-19,3,2,0.66,4
201143_2018-19,201145_2018-19,0,0,0.16,1
201143_2018-19,201152_2018-19,0,0,0.16,1
201143_2018-19,201571_2018-19,0,0,0.16,1
201143_2018-19,201980_2018-19,0,0,0.16,1
201143_2018-19,202691_2018-19,0,0,0.16,1
201143_2018-19,202711_2018-19,0,0,0.16,1
201143_2018-19,203095_2018-19,0,0,0.16,1
201143_2018-19,203107_2018-19,0,0,0.16,1
201143_2018-19,203471_2018-19,0,0,0.16,1
201143_2018-19,203490_2018-19,0,0,0.16,1
201143_2018-19,203924_2018-19,1,1,0.33,2
201143_2018-19,203932_2018-19,1,1,0.33,2
201143_2018-19,2772_2018-19,0,0,0.16,1
201145_2018-19,201152_2018-19,0,0,0.16,1
201145_2018-19,201571_2018-19,0,0,0.16,1
201145_2018-19,201980_2018-19,1,1,0.33,2
201145_2018-19,202691_2018-19,0,0,0.16,1
201145_2018-19,202711_2018-19,0,0,0.16,1
201145_2018-19,203095_2018-19,0,0,0.16,1
201145_2018-19,203107_2018-19,0,0,0.16,1
201145_2018-19,203471_2018-19,0,0,0.16,1
201145_2018-19,203490_2018-19,1,1,0.33,2
201145_2018-19,203924_2018-19,2,1,0.5,3
201145_2018-19,203932_2018-19,0,0,0.16,1
201145_2018-19,2772_2018-19,1,1,0.33,2
201152_2018-19,201571_2018-19,0,0,0.16,1
201152_2018-19,201980_2018-19,0,0,0.16,1
201152_2018-19,202691_2018-19,0,0,0.16,1
201152_2018-19,202711_2018-19,0,0,0.16,1
201152_2018-19,203095_2018-19,0,0,0.16,1
201152_2018-19,203107_2018-19,0,0,0.16,1
201152_2018-19,203471_2018-19,0,0,0.16,1
201152_2018-19,203490_2018-19,0,0,0.16,1
201152_2018-19,203924_2018-19,0,0,0.16,1
201152_2018-19,203932_2018-19,0,0,0.16,1
201152_2018-19,2772_2018-19,0,0,0.16,1
201571_2018-19,201980_2018-19,0,0,0.16,1
201571_2018-19,202691_2018-19,0,0,0.16,1
201571_2018-19,202711_2018-19,0,0,0.16,1
201571_2018-19,203095_2018-19,1,1,0.33,2
201571_2018-19,203107_2018-19,0,0,0.16,1
201571_2018-19,203471_2018-19,0,0,0.16,1
201571_2018-19,203490_2018-19,0,0,0.16,1
201571_2018-19,203924_2018-19,0,0,0.16,1
201571_2018-19,203932_2018-19,0,0,0.16,1
201571_2018-19,2772_2018-19,0,0,0.16,1
201980_2018-19,202691_2018-19,0,0,0.16,1
201980_2018-19,202711_2018-19,0,0,0.16,1
201980_2018-19,203095_2018-19,0,0,0.16,1
201980_2018-19,203107_2018-19,0,0,0.16,1
201980_2018-19,203471_2018-19,0,0,0.16,1
201980_2018-19,203490_2018-19,1,1,0.33,2
201980_2018-19,203924_2018-19,1,1,0.33,2
201980_2018-19,203932_2018-19,1,1,0.33,2
201980_2018-19,2772_2018-19,1,1,0.33,2
202691_2018-19,202711_2018-19,2,1,0.5,3
202691_2018-19,203095_2018-19,1,1,0.33,2
202691_2018-19,203107_2018-19,1,1,0.33,2
202691_2018-19,203471_2018-19,0,0,0.16,1
202691_2018-19,203490_2018-19,1,1,0.33,2
202691_2018-19,203924_2018-19,1,1,0.33,2
202691_2018-19,203932_2018-19,1,1,0.33,2
202691_2018-19,2772_2018-19,1,1,0.33,2
202711_2018-19,203095_2018-19,1,1,0.33,2
202711_2018-19,203107_2018-19,0,0,0.16,1
202711_2018-19,203471_2018-19,1,1,0.33,2
202711_2018-19,203490_2018-19,1,1,0.33,2
202711_2018-19,203924_2018-19,0,0,0.16,1
202711_2018-19,203932_2018-19,0,0,0.16,1
202711_2018-19,2772_2018-19,0,0,0.16,1
203095_2018-19,203107_2018-19,1,1,0.33,2
203095_2018-19,203471_2018-19,2,1,0.5,3
203095_2018-19,203490_2018-19,0,0,0.16,1
203095_2018-19,203924_2018-19,1,1,0.33,2
203095_2018-19,203932_2018-19,1,1,0.33,2
203095_2018-19,2772_2018-19,1,1,0.33,2
203107_2018-19,203471_2018-19,0,0,0.16,1
203107_2018-19,203490_2018-19,0,0,0.16,1
203107_2018-19,203924_2018-19,1,1,0.33,2
203107_2018-19,203932_2018-19,1,1,0.33,2
203107_2018-19,2772_2018-19,0,0,0.16,1
203471_2018-19,203490_2018-19,0,0,0.16,1
203471_2018-19,203924_2018-19,0,0,0.16,1
203471_2018-19,203932_2018-19,0,0,0.16,1
203471_2018-19,2772_2018-19,1,1,0.33,2
203490_2018-19,203924_2018-19,0,0,0.16,1
203490_2018-19,203932_2018-19,1,1,0.33,2
203490_2018-19,2772_2018-19,2,1,0.5,3
203924_2018-19,203932_2018-19,3,2,0.66,4
203924_2018-19,2772_2018-19,0,0,0.16,1
203932_2018-19,2772_2018-19,1,1,0.33,2
101108_2018-19,101141_2018-19,0,0,0.16,1
101108_2018-19,200752_2018-19,0,0,0.16,1
101108_2018-19,201577_2018-19,0,0,0.16,1
101108_2018-19,201586_2018-19,0,0,0.16,1
101108_2018-19,201959_2018-19,0,0,0.16,1
101108_2018-19,201960_2018-19,0,0,0.16,1
101108_2018-19,202683_2018-19,0,0,0.16,1
101108_2018-19,202685_2018-19,0,0,0.16,1
101108_2018-19,203090_2018-19,0,0,0.16,1
101108_2018-19,203110_2018-19,1,1,0.33,2
101108_2018-19,203458_2018-19,0,0,0.16,1
101108_2018-19,203473_2018-19,0,0,0.16,1
101108_2018-19,203991_2018-19,0,0,0.16,1
101141_2018-19,200752_2018-19,0,0,0.16,1
101141_2018-19,201577_2018-19,1,1,0.33,2
101141_2018-19,201586_2018-19,0,0,0.16,1
101141_2018-19,201959_2018-19,0,0,0.16,1
101141_2018-19,201960_2018-19,0,0,0.16,1
101141_2018-19,202683_2018-19,0,0,0.16,1
101141_2018-19,202685_2018-19,0,0,0.16,1
101141_2018-19,203090_2018-19,0,0,0.16,1
101141_2018-19,203110_2018-19,1,1,0.33,2
101141_2018-19,203458_2018-19,1,1,0.33,2
101141_2018-19,203473_2018-19,0,0,0.16,1
101141_2018-19,203991_2018-19,0,0,0.16,1
200752_2018-19,201577_2018-19,0,0,0.16,1
200752_2018-19,201586_2018-19,0,0,0.16,1
200752_2018-19,201959_2018-19,0,0,0.16,1
200752_2018-19,201960_2018-19,0,0,0.16,1
200752_2018-19,202683_2018-19,0,0,0.16,1
200752_2018-19,202685_2018-19,0,0,0.16,1
200752_2018-19,203090_2018-19,0,0,0.16,1
200752_2018-19,203110_2018-19,0,0,0.16,1
200752_2018-19,203458_2018-19,0,0,0.16,1
200752_2018-19,203473_2018-19,0,0,0.16,1
200752_2018-19,203991_2018-19,0,0,0.16,1
201577_2018-19,201586_2018-19,1,1,0.33,2
201577_2018-19,201959_2018-19,3,2,0.66,4
201577_2018-19,201960_2018-19,0,0,0.16,1
201577_2018-19,202683_2018-19,0,0,0.16,1
201577_2018-19,202685_2018-19,0,0,0.16,1
201577_2018-19,203090_2018-19,0,0,0.16,1
201577_2018-19,203110_2018-19,0,0,0.16,1
201577_2018-19,203458_2018-19,3,2,0.66,4
201577_2018-19,203473_2018-19,1,1,0.33,2
201577_2018-19,203991_2018-19,0,0,0.16,1
