id,group,pos,name,season,GroupYear,pid,team,AGE,FG%,PTS,REB,AST,STL,BLK,TOV,+/-
101141_2016-17,7,PF,Ersan Ilyasova,2016-17,Group 7 (2016-17),101141.0,ATL,30.0,0.431,13.1,5.9,1.7,0.7,0.3,1.4,-0.4
203210_2016-17,4,PF,JaMychal Green,2016-17,Group 4 (2016-17),203210.0,MEM,27.0,0.5,8.9,7.1,1.1,0.6,0.4,1.2,-0.4
203903_2016-17,7,SG,Jordan Clarkson,2016-17,Group 7 (2016-17),203903.0,LAL,25.0,0.445,14.7,3.0,2.6,1.1,0.1,2.0,-5.1
204456_2016-17,1,PG,T.J. McConnell,2016-17,Group 1 (2016-17),204456.0,PHI,25.0,0.461,6.9,3.1,6.6,1.7,0.1,2.0,-3.9
200746_2016-17,10,PF,LaMarcus Aldridge,2016-17,Group 10 (2016-17),200746.0,SAS,31.0,0.477,17.3,7.3,1.9,0.6,1.2,1.4,3.8
201609_2016-17,2,PG,Goran Dragic,2016-17,Group 2 (2016-17),201609.0,MIA,31.0,0.475,20.3,3.8,5.8,1.2,0.2,2.9,0.9
201950_2016-17,2,PG,Jrue Holiday,2016-17,Group 2 (2016-17),201950.0,NOP,27.0,0.454,15.4,3.9,7.3,1.5,0.7,2.9,0.6
203084_2016-17,2,PF,Harrison Barnes,2016-17,Group 2 (2016-17),203084.0,DAL,25.0,0.468,19.2,5.0,1.5,0.8,0.2,1.3,-1.7
203095_2016-17,7,SG,Evan Fournier,2016-17,Group 7 (2016-17),203095.0,ORL,24.0,0.439,17.2,3.1,3.0,1.0,0.1,2.1,-2.9
203484_2016-17,7,SG,Kentavious Caldwell-Pope,2016-17,Group 7 (2016-17),203484.0,DET,24.0,0.399,13.8,3.3,2.5,1.2,0.2,1.1,-1.9
200765_2016-17,4,PG,Rajon Rondo,2016-17,Group 4 (2016-17),200765.0,CHI,31.0,0.408,7.8,5.1,6.7,1.4,0.2,2.4,-0.9
203914_2016-17,7,SG,Gary Harris,2016-17,Group 7 (2016-17),203914.0,DEN,22.0,0.502,14.9,3.1,2.9,1.2,0.1,1.3,1.4
203925_2016-17,0,SG,Joe Harris,2016-17,Group 0 (2016-17),203925.0,BKN,25.0,0.425,8.2,2.8,1.0,0.6,0.2,1.1,-5.5
1627747_2016-17,9,SF,Caris LeVert,2016-17,Group 9 (2016-17),1627747.0,BKN,22.0,0.45,8.2,3.3,1.9,0.9,0.1,1.0,-1.6
200794_2016-17,10,PF,Paul Millsap,2016-17,Group 10 (2016-17),200794.0,ATL,32.0,0.442,18.1,7.7,3.7,1.3,0.9,2.3,2.0
201188_2016-17,10,C,Marc Gasol,2016-17,Group 10 (2016-17),201188.0,MEM,32.0,0.459,19.5,6.3,4.6,0.9,1.3,2.2,0.9
203471_2016-17,2,PG,Dennis Schroder,2016-17,Group 2 (2016-17),203471.0,ATL,23.0,0.451,17.9,3.1,6.3,0.9,0.2,3.3,-1.0
203952_2016-17,2,SF,Andrew Wiggins,2016-17,Group 2 (2016-17),203952.0,MIN,22.0,0.452,23.6,4.0,2.3,1.0,0.4,2.3,-0.2
